district_code,district_name,party,candidate_last,candidate_first
59018,Okanagan--Shuswap,Liberal,Francis,Janna
59018,Okanagan--Shuswap,NDP,Inouye,Nikki
59018,Okanagan--Shuswap,Conservative,Mayes,Colin
59019,North Vancouver,NDP,Charrois,Michael
59019,North Vancouver,Green,Dowman,Greg
59019,North Vancouver,Independent,Jones,Nick
59019,North Vancouver,Liberal,Noormohamed,Taleeb
59019,North Vancouver,Conservative,Saxton,Andrew
59020,Okanagan--Coquihalla,Conservative,Albas,Dan
59020,Okanagan--Coquihalla,Green,Bouchard,Dan
59020,Okanagan--Coquihalla,NDP,Finnis,David
59020,Okanagan--Coquihalla,Liberal,Kidder,John
59020,Okanagan--Coquihalla,Independent,Upshaw,Sean
59020,Okanagan--Coquihalla,Independent,Wittel,Dietrich
59021,Port Moody--Westwood--Port Coquitlam,Libertarian,Geddes,Paul
59021,Port Moody--Westwood--Port Coquitlam,NDP,Ireland,Mark
59021,Port Moody--Westwood--Port Coquitlam,Green,Kim,Kevin
59021,Port Moody--Westwood--Port Coquitlam,Liberal,McGillivray,Stewart
59021,Port Moody--Westwood--Port Coquitlam,Conservative,Moore,James
59022,Prince George--Peace River,NDP,Boone,Lois
59022,Prince George--Peace River,Pirate,Coté,Jeremy
59022,Prince George--Peace River,Green,Crowley,Hilary
59022,Prince George--Peace River,Liberal,Levine,Ben
59022,Prince George--Peace River,Conservative,Zimmer,Bob
59023,Richmond,NDP,Jackaman,Dale
59023,Richmond,Liberal,Peschisolido,Joe
59023,Richmond,Green,Wolfe,Michael
59023,Richmond,Conservative,Wong,Alice
59024,Saanich--Gulf Islands,Liberal,Hetherington,Renée
59024,Saanich--Gulf Islands,NDP,Loring-Kuhanga,Edith
59024,Saanich--Gulf Islands,Conservative,Lunn,Gary
59024,Saanich--Gulf Islands,Green,May,Elizabeth
59025,Skeena--Bulkley Valley,Green,Benham,Roger
59025,Skeena--Bulkley Valley,Canadian Action,Braun,Maggie
59025,Skeena--Bulkley Valley,NDP,Cullen,Nathan Paul
59025,Skeena--Bulkley Valley,Conservative,Harmon,Clay
59025,Skeena--Bulkley Valley,Christian Heritage,Taylor,Rod
59025,Skeena--Bulkley Valley,Liberal,Warwick,Kyle
59026,British Columbia Southern Interior,NDP,Atamanenko,Alex
59026,British Columbia Southern Interior,Conservative,Hill,Stephen
59026,British Columbia Southern Interior,Green,Hunt,Bryan
59026,British Columbia Southern Interior,Liberal,Lavell,Shan
59027,South Surrey--White Rock--Cloverdale,Green,Colero,Larry
59027,South Surrey--White Rock--Cloverdale,Independent,Donohoe,Kevin Peter
59027,South Surrey--White Rock--Cloverdale,Independent,Hawkins,David
59027,South Surrey--White Rock--Cloverdale,Conservative,Hiebert,Russ
59027,South Surrey--White Rock--Cloverdale,NDP,Keeping,Susan
59027,South Surrey--White Rock--Cloverdale,Independent,Looye,Aart
59027,South Surrey--White Rock--Cloverdale,Progressive Canadian,Marlatt,Brian
59027,South Surrey--White Rock--Cloverdale,Christian Heritage,Schouten,Mike
59027,South Surrey--White Rock--Cloverdale,Liberal,Staub,Hardy
59028,Surrey North,Libertarian,Barens,Norris
59028,Surrey North,Conservative,Cadman,Dona
59028,Surrey North,Green,Keenan,Bernadette
59028,Surrey North,Christian Heritage,Pielak,Kevin
59028,Surrey North,Liberal,Purewal,Shinder
59028,Surrey North,NDP,Sandhu,Jasbir
59028,Surrey North,Independent,Scott,Jamie
59029,Vancouver Centre,Green,Carr,Adriane
59029,Vancouver Centre,Conservative,Clarke,Jennifer
59029,Vancouver Centre,Libertarian,Clarke,John
59029,Vancouver Centre,Liberal,Fry,Hedy
59029,Vancouver Centre,Marxist-Leninist,Hill,Michael
59029,Vancouver Centre,Progressive Canadian,Huenefeld,Michael
59029,Vancouver Centre,Pirate,McCrea,Travis
59029,Vancouver Centre,NDP,Shillington,Karen
59030,Vancouver East,Liberal,Ahi,Roma
59030,Vancouver East,NDP,Davies,Libby
59030,Vancouver East,Marxist-Leninist,Jamieson,Anne
59030,Vancouver East,Green,Roy,Douglas
59030,Vancouver East,Conservative,Yatco,Irene C.
59031,Vancouver Island North,Independent,Draper,Jason
59031,Vancouver Island North,Conservative,Duncan,John
59031,Vancouver Island North,Liberal,Holland,Mike
59031,Vancouver Island North,NDP,Leonard,Ronna-Rae
59031,Vancouver Island North,Marxist-Leninist,Martin,Frank
59031,Vancouver Island North,Green,Moen,Sue
59032,Vancouver Kingsway,Green,Boutin,Louise
59032,Vancouver Kingsway,Communist,Cariou,Kimball
59032,Vancouver Kingsway,NDP,Davies,Don
59032,Vancouver Kingsway,Libertarian,Kadioglu,Matt
59032,Vancouver Kingsway,Conservative,Nguyen,Trang
59032,Vancouver Kingsway,Marxist-Leninist,Petersen,Donna
59032,Vancouver Kingsway,Liberal,Yuan,Wendy
59033,Vancouver Quadra,NDP,Elkins,Victor Edward
59033,Vancouver Quadra,Conservative,Meredith,Deborah
59033,Vancouver Quadra,Liberal,Murray,Joyce
59033,Vancouver Quadra,Green,Shaw,Laura-Leah
59034,Vancouver South,Marxist-Leninist,Boylan,Charles
59034,Vancouver South,Liberal,Dosanjh,Ujjal
59034,Vancouver South,Green,Hakizimana,Jean de Dieu
59034,Vancouver South,NDP,Wong,Meena
59034,Vancouver South,Conservative,Young,Wai
59035,Victoria,Liberal,Causton,Christopher
59035,Victoria,Green,Giesbrecht,Jared
59035,Victoria,Conservative,Hunt,Patrick
59035,Victoria,NDP,Savoie,Denise
59036,West Vancouver--Sunshine Coast--Sea to Sky Country,Libertarian,Audain,Tunya
59036,West Vancouver--Sunshine Coast--Sea to Sky Country,Marxist-Leninist,Chapman,Carol Lee
59036,West Vancouver--Sunshine Coast--Sea to Sky Country,Canadian Action,Hartt,Doug
59036,West Vancouver--Sunshine Coast--Sea to Sky Country,Western Block,Holt,Allan
59036,West Vancouver--Sunshine Coast--Sea to Sky Country,Progressive Canadian,Lagassé,Roger
59036,West Vancouver--Sunshine Coast--Sea to Sky Country,NDP,Platt,Terry
59036,West Vancouver--Sunshine Coast--Sea to Sky Country,Liberal,Veniez,Dan
59036,West Vancouver--Sunshine Coast--Sea to Sky Country,Green,Wauters,Brennan
59036,West Vancouver--Sunshine Coast--Sea to Sky Country,Conservative,Weston,John Dunbar
60001,Yukon,Liberal,Bagnell,Larry
60001,Yukon,NDP,Barr,Kevin
60001,Yukon,Conservative,Leef,Ryan
60001,Yukon,Green,Streicker,John
61001,Western Arctic,NDP,Bevington,Dennis
61001,Western Arctic,Animal Alliance Environment Voters,Dawson,Bonnie
61001,Western Arctic,Liberal,Handley,Joe
61001,Western Arctic,Conservative,Lee,Sandy
61001,Western Arctic,Green,Purchase,Eli
62001,Nunavut,Conservative,Aglukkaq,Leona
62001,Nunavut,NDP,Hicks,Jack
62001,Nunavut,Green,MacCallum,Scott
62001,Nunavut,Liberal,Okalik,Paul
